site,ind,mtemp,L1,deltaL_obs,deltaT
LCR_res,150,1.230802315,20.5,3.2,0.35890411
LCR_res,150,-1.907248463,23.7,0.3,0.652054795
LCR_res,151,1.228561349,12.9,3.6,0.361643836
LCR_res,151,-0.24425326,16.5,0.2,0.076712329
LCR_res,152,-1.056687895,21.2,1.3,1.621917808
LCR_res,152,0.782835335,22.5,-0.2,0.005479452
LCR_res,152,-0.460417984,22.3,2.2,0.956164384
LCR_res,152,-0.444792024,24.5,1,1.071232877
LCR_res,152,-0.34915161,25.5,0.1,0.915068493
LCR_res,152,0.071950817,25.6,0.1,0.005479452
LCR_res,152,-0.446636214,25.7,2.1,3.021917808
LCR_res,153,-0.614904498,16.7,5.4,2.084931507
LCR_res,154,-0.828382219,15.9,9.6,2.589041096
LCR_res,154,-0.405171775,25.5,2.9,3.087671233
LCR_res,155,-0.24425326,18.2,0.3,0.076712329
LCR_res,155,-2.177494632,18.5,2.3,0.561643836
LCR_res,155,1.289708809,20.8,2.3,0.364383562
LCR_res,155,-1.307745392,23.1,0.9,0.704109589
LCR_res,155,1.437158051,24,1.2,0.287671233
LCR_res,155,-1.467483088,25.2,0.3,0.591780822
LCR_res,155,-0.393101777,25.5,3.5,2.079452055
LCR_res,155,-0.424657044,29,1,1.010958904
LCR_res,155,0.565728421,30,-0.1,0.005479452
LCR_res,156,-0.24425326,15.7,1,0.076712329
LCR_res,156,-0.823215404,16.7,5.4,0.920547945
LCR_res,156,0.87064572,22.1,-0.3,0.005479452
LCR_res,157,0.22650033,13.5,0.1,0.005479452
LCR_res,158,-0.778666787,15.2,3.5,0.997260274
LCR_res,158,-1.500614305,18.7,0.8,0.624657534
LCR_res,158,0.210084146,19.5,0.5,0.076712329
LCR_res,159,-0.769659143,23.2,2.3,1.002739726
LCR_res,160,-1.890202649,30,0.5,0.657534247
LCR_res,160,1.372713117,30.5,1.9,0.339726027
LCR_res,160,-0.865715311,32.4,0.6,1.58630137
LCR_res,160,0.587611743,33,0,0.084931507
LCR_res,160,1.077445373,33,0,0.005479452
LCR_res,160,1.30262014,33,0.5,0.394520548
LCR_res,161,-1.907248463,28.9,-0.3,0.652054795
